layer_name,assigned_bits,num_weights,distinct_symbols,zero_fraction,entropy_bits_per_weight,avg_huffman_bits_per_weight,dense_weight_kb,huffman_stream_kb,codebook_kb
features.14.conv.1.0,5,5184,31,0.0021219135802469135,4.645100296515429,4.669945987654321,3.1640625,2.9552001953125,0.0491943359375
features.14.conv.2,7,92160,127,0.025358072916666665,6.163763393818762,6.202083333333333,78.75,69.7734375,0.2325439453125
features.15.conv.0.0,5,153600,31,0.0886328125,4.325132078491058,4.366315104166667,93.75,81.868408203125,0.0491943359375
features.15.conv.1.0,7,8640,127,0.013425925925925926,6.483463449479782,6.5159722222222225,7.3828125,6.872314453125,0.2325439453125
features.15.conv.2,6,153600,63,0.06251953125,4.981732242175457,5.009173177083333,112.5,93.9219970703125,0.107666015625
features.16.conv.0.0,6,153600,63,0.0469140625,5.3325400661903295,5.372220052083334,112.5,100.7291259765625,0.107666015625
features.16.conv.1.0,7,8640,127,0.013310185185185185,6.461569711834004,6.486342592592592,7.3828125,6.841064453125,0.2325439453125
features.16.conv.2,7,153600,127,0.027493489583333332,6.0423989702622904,6.074772135416667,131.25,113.9019775390625,0.2325439453125
features.17.conv.0.0,5,153600,31,0.10072265625,4.205105653959723,4.241015625,93.75,79.51904296875,0.0491943359375
features.17.conv.1.0,5,8640,31,0.01099537037037037,4.795147593175796,4.827662037037037,5.2734375,5.0916748046875,0.0491943359375
features.17.conv.2,5,307200,31,0.11434895833333333,4.046132997247516,4.080065104166667,187.5,153.00244140625,0.0491943359375
features.18.0,5,409600,31,0.08800048828125,4.276259077502849,4.318759765625,250.0,215.93798828125,0.0491943359375
classifier.1,5,12800,28,0.09265625,3.9685639522101863,3.998515625,7.8125,6.2476806640625,0.04443359375
