weight_bits,activation_bits,prune_ratio,baseline_accuracy,test_accuracy,accuracy_drop,test_loss,model_size_mb,original_model_mb,model_compression_ratio,activation_compression_ratio,activation_original_mb,activation_compressed_mb,final_sparsity,weight_value_mb,mask_overhead_mb,scale_overhead_mb,fp32_exception_mb,runtime_seconds
6,7,0.2,95.11,90.92,4.189999999999998,0.3422805603504181,1.7179956436157227,8.532264709472656,4.966406487222231,4.571421516941565,598.9267578125,131.01543045043945,0.20009625163446176,1.2601633071899414,0.26256561279296875,0.06510162353515625,0.13016510009765625,49.60177206993103
6,7,0.3,95.11,88.28,6.829999999999998,0.3946343858718872,1.5605878829956055,8.532264709472656,5.467340098203674,4.571421516941565,598.9267578125,131.01543045043945,0.30001271248002326,1.1027555465698242,0.26256561279296875,0.06510162353515625,0.13016510009765625,55.59369897842407
6,8,0.0,95.11,93.33,1.7800000000000011,0.2628702012062073,1.770660400390625,8.532264709472656,4.818690646490064,3.9999945989073438,598.9267578125,149.73189163208008,0.050007264274299024,1.5753936767578125,0.0,0.06510162353515625,0.13016510009765625,48.86785912513733
6,8,0.1,95.11,93.43,1.6799999999999926,0.2587818081855774,1.87408447265625,8.532264709472656,4.552764207783748,3.9999945989073438,598.9267578125,149.73189163208008,0.10101699840185963,1.4162521362304688,0.26256561279296875,0.06510162353515625,0.13016510009765625,54.22061491012573
6,8,0.2,95.11,93.04,2.069999999999993,0.2506137053012848,1.7179956436157227,8.532264709472656,4.966406487222231,3.9999945989073438,598.9267578125,149.73189163208008,0.20009625163446176,1.2601633071899414,0.26256561279296875,0.06510162353515625,0.13016510009765625,55.555951833724976
6,8,0.3,95.11,91.26,3.8499999999999943,0.29483141212463376,1.5605878829956055,8.532264709472656,5.467340098203674,3.9999945989073438,598.9267578125,149.73189163208008,0.30001271248002326,1.1027555465698242,0.26256561279296875,0.06510162353515625,0.13016510009765625,56.90469193458557
7,7,0.0,95.11,91.85,3.260000000000005,0.3445122772216797,2.0332260131835938,8.532264709472656,4.196417247344268,4.571421516941565,598.9267578125,131.01543045043945,0.02474620441667874,1.8379592895507812,0.0,0.06510162353515625,0.13016510009765625,61.03133201599121
7,7,0.1,95.11,91.7,3.4099999999999966,0.34744141321182254,2.1119372844696045,8.532264709472656,4.0400180309404705,4.571421516941565,598.9267578125,131.01543045043945,0.10003178120005807,1.6541049480438232,0.26256561279296875,0.06510162353515625,0.13016510009765625,58.65949487686157
7,7,0.2,95.11,91.25,3.8599999999999994,0.33661013069152834,1.9281989336013794,8.532264709472656,4.4249919242184115,4.571421516941565,598.9267578125,131.01543045043945,0.20000045401714373,1.4703665971755981,0.26256561279296875,0.06510162353515625,0.13016510009765625,49.264230251312256
7,7,0.3,95.11,88.11,7.0,0.42928146142959595,1.7444038391113281,8.532264709472656,4.891221010966903,4.571421516941565,598.9267578125,131.01543045043945,0.30000000000000004,1.2865715026855469,0.26256561279296875,0.06510162353515625,0.13016510009765625,55.676612854003906
7,8,0.0,95.11,94.6,0.5100000000000051,0.228944583773613,2.0332260131835938,8.532264709472656,4.196417247344268,3.9999945989073438,598.9267578125,149.73189163208008,0.02474620441667874,1.8379592895507812,0.0,0.06510162353515625,0.13016510009765625,50.70182394981384
